USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root          91  0.0  0.0      0     0 ?        S    Oct26   0:00 [irq/42-pciehp]
root          92  0.0  0.0      0     0 ?        S    Oct26   0:00 [irq/43-pciehp]
root          93  0.0  0.0      0     0 ?        I<   Oct26   0:00 [kworker/R-acpi_thermal_pm]
root          94  0.0  0.0      0     0 ?        I<   Oct26   0:00 [kworker/R-mld]
root          95  0.0  0.0      0     0 ?        I<   Oct26   0:00 [kworker/R-ipv6_addrconf]
root          96  0.0  0.0      0     0 ?        I<   Oct26   0:00 [kworker/1:1H-kblockd]
root         101  0.0  0.0      0     0 ?        I<   Oct26   0:00 [kworker/R-kstrp]
root         107  0.0  0.0      0     0 ?        I<   Oct26   0:00 [kworker/u11:0]
root         108  0.0  0.0      0     0 ?        I<   Oct26   0:00 [kworker/u12:0-ttm]
root         236  0.0  0.0      0     0 ?        S    Oct26   0:00 [irq/46-vmwgfx]
root         237  0.0  0.0      0     0 ?        S    Oct26   0:00 [irq/47-vmwgfx]
root         238  0.0  0.0      0     0 ?        S    Oct26   0:00 [irq/48-vmwgfx]
root         240  0.0  0.0      0     0 ?        S    Oct26   0:00 [irq/49-vmwgfx]
root         241  0.0  0.0      0     0 ?        S    Oct26   0:00 [irq/50-vmwgfx]
root         242  0.0  0.0      0     0 ?        S    Oct26   0:00 [irq/51-vmwgfx]
root         243  0.0  0.0      0     0 ?        I<   Oct26   0:00 [kworker/R-ttm]
root         250  0.0  0.0      0     0 ?        I<   Oct26   0:00 [kworker/R-nvme-wq]
root         251  0.0  0.0      0     0 ?        I<   Oct26   0:00 [kworker/R-nvme-reset-wq]
root         252  0.0  0.0      0     0 ?        I<   Oct26   0:00 [kworker/R-nvme-delete-wq]
root         253  0.0  0.0      0     0 ?        I<   Oct26   0:00 [kworker/R-nvme-auth-wq]
root         258  0.0  0.0      0     0 ?        I<   Oct26   0:00 [kworker/R-ata_sff]
root         271  0.0  0.0      0     0 ?        S    Oct26   0:00 [scsi_eh_0]
root         272  0.0  0.0      0     0 ?        I<   Oct26   0:00 [kworker/R-scsi_tmf_0]
root         273  0.0  0.0      0     0 ?        S    Oct26   0:00 [scsi_eh_1]
root         274  0.0  0.0      0     0 ?        I<   Oct26   0:00 [kworker/R-scsi_tmf_1]
root         275  0.0  0.0      0     0 ?        S    Oct26   0:00 [scsi_eh_2]
root         276  0.0  0.0      0     0 ?        I<   Oct26   0:00 [kworker/R-scsi_tmf_2]
root         277  0.0  0.0      0     0 ?        S    Oct26   0:00 [scsi_eh_3]
root         278  0.0  0.0      0     0 ?        I<   Oct26   0:00 [kworker/R-scsi_tmf_3]
root         279  0.0  0.0      0     0 ?        S    Oct26   0:00 [scsi_eh_4]
root         280  0.0  0.0      0     0 ?        I<   Oct26   0:00 [kworker/R-scsi_tmf_4]
root         281  0.0  0.0      0     0 ?        S    Oct26   0:00 [scsi_eh_5]
root         282  0.0  0.0      0     0 ?        I<   Oct26   0:00 [kworker/R-scsi_tmf_5]
root         283  0.0  0.0      0     0 ?        S    Oct26   0:00 [scsi_eh_6]
root         284  0.0  0.0      0     0 ?        I<   Oct26   0:00 [kworker/R-scsi_tmf_6]
root         285  0.0  0.0      0     0 ?        S    Oct26   0:00 [scsi_eh_7]
root         286  0.0  0.0      0     0 ?        I<   Oct26   0:00 [kworker/R-scsi_tmf_7]
root         287  0.0  0.0      0     0 ?        S    Oct26   0:00 [scsi_eh_8]
root         288  0.0  0.0      0     0 ?        I<   Oct26   0:00 [kworker/R-scsi_tmf_8]
root         289  0.0  0.0      0     0 ?        S    Oct26   0:00 [scsi_eh_9]
root         290  0.0  0.0      0     0 ?        I<   Oct26   0:00 [kworker/R-scsi_tmf_9]
root         291  0.0  0.0      0     0 ?        S    Oct26   0:00 [scsi_eh_10]
root         292  0.0  0.0      0     0 ?        I<   Oct26   0:00 [kworker/R-scsi_tmf_10]
root         293  0.0  0.0      0     0 ?        S    Oct26   0:00 [scsi_eh_11]
root         294  0.0  0.0      0     0 ?        I<   Oct26   0:00 [kworker/R-scsi_tmf_11]
root         295  0.0  0.0      0     0 ?        S    Oct26   0:00 [scsi_eh_12]
root         296  0.0  0.0      0     0 ?        I<   Oct26   0:00 [kworker/R-scsi_tmf_12]
root         297  0.0  0.0      0     0 ?        S    Oct26   0:00 [scsi_eh_13]
root         298  0.0  0.0      0     0 ?        I<   Oct26   0:00 [kworker/R-scsi_tmf_13]
root         299  0.0  0.0      0     0 ?        S    Oct26   0:00 [scsi_eh_14]
root         300  0.0  0.0      0     0 ?        I<   Oct26   0:00 [kworker/R-scsi_tmf_14]
root         301  0.0  0.0      0     0 ?        S    Oct26   0:00 [scsi_eh_15]
root         302  0.0  0.0      0     0 ?        I<   Oct26   0:00 [kworker/R-scsi_tmf_15]
root         303  0.0  0.0      0     0 ?        S    Oct26   0:00 [scsi_eh_16]
root         304  0.0  0.0      0     0 ?        I<   Oct26   0:00 [kworker/R-scsi_tmf_16]
root         305  0.0  0.0      0     0 ?        S    Oct26   0:00 [scsi_eh_17]
root         306  0.0  0.0      0     0 ?        I<   Oct26   0:00 [kworker/R-scsi_tmf_17]
root         307  0.0  0.0      0     0 ?        S    Oct26   0:00 [scsi_eh_18]
root         308  0.0  0.0      0     0 ?        I<   Oct26   0:00 [kworker/R-scsi_tmf_18]
root         309  0.0  0.0      0     0 ?        S    Oct26   0:00 [scsi_eh_19]
root         310  0.0  0.0      0     0 ?        I<   Oct26   0:00 [kworker/R-scsi_tmf_19]
root         311  0.0  0.0      0     0 ?        S    Oct26   0:00 [scsi_eh_20]
root         312  0.0  0.0      0     0 ?        I<   Oct26   0:00 [kworker/R-scsi_tmf_20]
root         313  0.0  0.0      0     0 ?        S    Oct26   0:00 [scsi_eh_21]
root         314  0.0  0.0      0     0 ?        I<   Oct26   0:00 [kworker/R-scsi_tmf_21]
root         315  0.0  0.0      0     0 ?        S    Oct26   0:00 [scsi_eh_22]
root         316  0.0  0.0      0     0 ?        I<   Oct26   0:00 [kworker/R-scsi_tmf_22]
root         317  0.0  0.0      0     0 ?        S    Oct26   0:00 [scsi_eh_23]
root         318  0.0  0.0      0     0 ?        I<   Oct26   0:00 [kworker/R-scsi_tmf_23]
root         319  0.0  0.0      0     0 ?        S    Oct26   0:00 [scsi_eh_24]
root         320  0.0  0.0      0     0 ?        I<   Oct26   0:00 [kworker/R-scsi_tmf_24]
root         321  0.0  0.0      0     0 ?        S    Oct26   0:00 [scsi_eh_25]
root         322  0.0  0.0      0     0 ?        I<   Oct26   0:00 [kworker/R-scsi_tmf_25]
root         323  0.0  0.0      0     0 ?        S    Oct26   0:00 [scsi_eh_26]
root         324  0.0  0.0      0     0 ?        I<   Oct26   0:00 [kworker/R-scsi_tmf_26]
